"","wave","lab_sta_cur","mean","ymax","ymin","n"
"90",19,"in Pension",2.61,2.726,2.502,1545
"91",20,"in Pension",2.63,2.745,2.522,1512
"92",21,"in Pension",2.67,2.781,2.565,1514
"93",22,"in Pension",2.67,2.793,2.552,1459
"94",23,"in Pension",2.61,2.74,2.483,1446
"95",24,"in Pension",2.66,2.78,2.54,1449
"96",6,"in Ausbildung",2.76,2.976,2.544,1490
"97",7,"in Ausbildung",2.81,2.992,2.62,1465
"98",8,"in Ausbildung",2.72,2.908,2.531,1442
"99",9,"in Ausbildung",2.66,2.885,2.436,1451
"100",10,"in Ausbildung",2.73,2.919,2.545,1452
"101",11,"in Ausbildung",2.78,2.972,2.582,1449
"102",12,"in Ausbildung",2.95,3.154,2.751,1460
"103",13,"in Ausbildung",2.99,3.205,2.771,1471
"104",14,"in Ausbildung",2.75,2.929,2.58,1474
"105",15,"in Ausbildung",2.78,2.972,2.584,1521
"106",16,"in Ausbildung",2.82,3,2.631,1594
"107",17,"in Ausbildung",2.66,2.883,2.428,1540
"108",18,"in Ausbildung",2.77,2.933,2.601,1501
"109",19,"in Ausbildung",2.69,2.894,2.495,1545
"110",20,"in Ausbildung",2.7,2.945,2.463,1512
"111",21,"in Ausbildung",2.62,2.844,2.392,1514
"112",22,"in Ausbildung",2.72,2.942,2.503,1459
"113",23,"in Ausbildung",2.48,2.74,2.226,1446
"114",24,"in Ausbildung",2.64,2.809,2.479,1449
"115",6,"Sonstige",2.39,2.673,2.099,1490
"116",7,"Sonstige",2.3,2.582,2.014,1465
"117",8,"Sonstige",2.12,2.417,1.823,1442
"118",9,"Sonstige",2.23,2.573,1.886,1451
"119",10,"Sonstige",2.21,2.478,1.935,1452
"120",11,"Sonstige",2.24,2.534,1.956,1449
"121",12,"Sonstige",2.45,2.747,2.151,1460
"122",13,"Sonstige",2.36,2.642,2.069,1471
"123",14,"Sonstige",2.25,2.558,1.943,1474
"124",15,"Sonstige",2.42,2.71,2.138,1521
"125",16,"Sonstige",2.23,2.513,1.947,1594
"126",17,"Sonstige",2.13,2.423,1.842,1540
"127",18,"Sonstige",2.25,2.538,1.968,1501
"128",19,"Sonstige",2.24,2.478,1.994,1545
"129",20,"Sonstige",2.19,2.458,1.923,1512
"130",21,"Sonstige",2.31,2.604,2.012,1514
"131",22,"Sonstige",2.18,2.47,1.885,1459
"132",23,"Sonstige",2.31,2.553,2.068,1446
"133",24,"Sonstige",2.38,2.655,2.1,1449
