"","wave","fin_aus_akt_f","prop","ymax","ymin","n"
"89",18,"nur sehr schwer zurechtkommen",0.06,0.074,0.05,1567
"90",18,"Weiss nicht",0.01,0.012,0.003,1567
"91",18,"keine Angabe",0.02,0.031,0.016,1567
"92",19,"sehr gut zurechtkommen",0.13,0.147,0.114,1612
"93",19,"gut zurechtkommen",0.42,0.442,0.394,1612
"94",19,"teils-teils",0.25,0.266,0.224,1612
"95",19,"nur schwer zurechtkommen",0.11,0.121,0.091,1612
"96",19,"nur sehr schwer zurechtkommen",0.06,0.068,0.046,1612
"97",19,"Weiss nicht",0.01,0.012,0.004,1612
"98",19,"keine Angabe",0.03,0.043,0.025,1612
"99",20,"sehr gut zurechtkommen",0.14,0.153,0.119,1574
"100",20,"gut zurechtkommen",0.44,0.463,0.414,1574
"101",20,"teils-teils",0.24,0.259,0.217,1574
"102",20,"nur schwer zurechtkommen",0.09,0.109,0.08,1574
"103",20,"nur sehr schwer zurechtkommen",0.05,0.066,0.043,1574
"104",20,"Weiss nicht",0,0.008,0.001,1574
"105",20,"keine Angabe",0.03,0.044,0.026,1574
"106",21,"sehr gut zurechtkommen",0.14,0.16,0.125,1573
"107",21,"gut zurechtkommen",0.43,0.457,0.408,1573
"108",21,"teils-teils",0.25,0.267,0.225,1573
"109",21,"nur schwer zurechtkommen",0.09,0.105,0.077,1573
"110",21,"nur sehr schwer zurechtkommen",0.05,0.061,0.039,1573
"111",21,"Weiss nicht",0.01,0.009,0.002,1573
"112",21,"keine Angabe",0.03,0.041,0.023,1573
"113",22,"sehr gut zurechtkommen",0.13,0.152,0.118,1533
"114",22,"gut zurechtkommen",0.44,0.465,0.416,1533
"115",22,"teils-teils",0.23,0.256,0.213,1533
"116",22,"nur schwer zurechtkommen",0.09,0.102,0.073,1533
"117",22,"nur sehr schwer zurechtkommen",0.06,0.067,0.044,1533
"118",22,"Weiss nicht",0,0.006,0.001,1533
"119",22,"keine Angabe",0.04,0.054,0.033,1533
"120",23,"sehr gut zurechtkommen",0.11,0.13,0.098,1503
"121",23,"gut zurechtkommen",0.44,0.463,0.413,1503
"122",23,"teils-teils",0.26,0.287,0.243,1503
"123",23,"nur schwer zurechtkommen",0.08,0.097,0.069,1503
"124",23,"nur sehr schwer zurechtkommen",0.06,0.077,0.052,1503
"125",23,"Weiss nicht",0.01,0.01,0.002,1503
"126",23,"keine Angabe",0.03,0.038,0.021,1503
"127",24,"sehr gut zurechtkommen",0.12,0.138,0.105,1513
"128",24,"gut zurechtkommen",0.45,0.476,0.426,1513
"129",24,"teils-teils",0.25,0.27,0.226,1513
"130",24,"nur schwer zurechtkommen",0.09,0.107,0.078,1513
"131",24,"nur sehr schwer zurechtkommen",0.05,0.064,0.041,1513
"132",24,"Weiss nicht",0,0.008,0.001,1513
"133",24,"keine Angabe",0.03,0.038,0.021,1513
